Set,Correct,Incorrect,Skipped
Basic Problems B,10,2,0
Test Problems B,5,7,0
Challenge Problems B,3,9,0
Raven's Problems B,2,10,0
Basic Problems C,5,7,0
Test Problems C,3,7,2
Challenge Problems C,2,10,0
Raven's Problems C,1,11,0
