Lines Matched,Pct1,Pct2,Moss Link,Project1,Student1,Project2,Student2
84,0,1,http://moss.stanford.edu/results/818084778/match67.html,"C_P22015","Aab_Michael(7b90e57b05602edbeeea35b8ba37a0b1)","O_P22014","L_Stu(21f2212719b3c956cfeec91a639a019f)"
84,0,2,http://moss.stanford.edu/results/818084778/match73.html,"C_P22015","Aab_Michael(7b90e57b05602edbeeea35b8ba37a0b1)","O_P12014","T_Stu(21f2212719b3c956cfeec91a639a019f)"
76,0,1,http://moss.stanford.edu/results/818084778/match127.html,"C_P12015","Lu_Ben(6e43dde6ee96247f8d811d9acb6687e3)","O_P12014","R_Stu(fdff9c54a88cb0c4288d5d2618f64fd8)"
75,1,4,http://moss.stanford.edu/results/818084778/match54.html,"C_P22015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)","O_P22014","H_Stu(41e869b8be1ff2f45a0f7679f0612c02)"
75,0,0,http://moss.stanford.edu/results/818084778/match118.html,"C_P12015","Jones_Tommy(0db34975171811623b0aa2e1bea58039)","C_P12015","Lu_Ben(6e43dde6ee96247f8d811d9acb6687e3)"
71,1,0,http://moss.stanford.edu/results/818084778/match113.html,"C_P12015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)","O_P22014","O_Stu(5041308ef3585f4cd6051da1dccd4331)"
71,1,0,http://moss.stanford.edu/results/818084778/match114.html,"C_P12015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)","C_P22015","Aab_Michael(7b90e57b05602edbeeea35b8ba37a0b1)"
71,1,0,http://moss.stanford.edu/results/818084778/match158.html,"C_P12015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)","O_P22014","L_Stu(21f2212719b3c956cfeec91a639a019f)"
71,1,0,http://moss.stanford.edu/results/818084778/match159.html,"C_P12015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)","O_P12014","T_Stu(21f2212719b3c956cfeec91a639a019f)"
70,2,2,http://moss.stanford.edu/results/818084778/match89.html,"C_P12015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)","O_P12014","R_Stu(fdff9c54a88cb0c4288d5d2618f64fd8)"
69,1,0,http://moss.stanford.edu/results/818084778/match41.html,"C_P22015","Boop_Betty(168e38a05dfd8bb5e4d1aa3084f98cec)","C_P22015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)"
65,0,1,http://moss.stanford.edu/results/818084778/match194.html,"C_P22015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)","O_P22014","H_Stu(41e869b8be1ff2f45a0f7679f0612c02)"
65,0,2,http://moss.stanford.edu/results/818084778/match195.html,"C_P22015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)","O_P12014","Al_Stu(41e869b8be1ff2f45a0f7679f0612c02)"
