Lines Matched,Moss Link,Student1,Student2
44,"http://moss.stanford.edu/results/257977931/match15.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P2_2014/F,_Stu(11a3b6f00f76a75d9d650d008e4a510e)/ (1%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P2_2014/M,_Stu(6555850a55640f87137d0f2cfe2d9553)/ (0%)"
44,"http://moss.stanford.edu/results/257977931/match16.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P1_2015/Carny,_Art(8ad9f0dafee6ae05cb24c524ba664fa9)/ (0%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P2_2014/M,_Stu(6555850a55640f87137d0f2cfe2d9553)/ (0%)"
6,"http://moss.stanford.edu/results/257977931/match17.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Brown,_Andrew(b5f5712a90500dff54746d526db0d879)/ (1%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P2_2014/F,_Stu(11a3b6f00f76a75d9d650d008e4a510e)/ (1%)"
44,"http://moss.stanford.edu/results/257977931/match18.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P1_2014/U,_Stu(6555850a55640f87137d0f2cfe2d9553)/ (0%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P2_2014/F,_Stu(11a3b6f00f76a75d9d650d008e4a510e)/ (1%)"
8,"http://moss.stanford.edu/results/257977931/match19.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Black,_Lisa(82d08df03494defb6b12f52319752fdc)/ (1%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Olsen,_Nicholas(12b58a22a0cc234a37663125c3bd8c25)/ (0%)"
44,"http://moss.stanford.edu/results/257977931/match20.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P1_2015/Carny,_Art(8ad9f0dafee6ae05cb24c524ba664fa9)/ (0%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P1_2014/U,_Stu(6555850a55640f87137d0f2cfe2d9553)/ (0%)"
6,"http://moss.stanford.edu/results/257977931/match21.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Brown,_Andrew(b5f5712a90500dff54746d526db0d879)/ (1%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P1_2014/U,_Stu(6555850a55640f87137d0f2cfe2d9553)/ (0%)"
6,"http://moss.stanford.edu/results/257977931/match22.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Black,_Lisa(82d08df03494defb6b12f52319752fdc)/ (1%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Green,_Simonel(86c7ea55381094ef1374bc79524ba7b7)/ (0%)"
10,"http://moss.stanford.edu/results/257977931/match23.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P2_2014/G,_Stu(90bc16fae739004d71361ad6585f3907)/ (0%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P2_2014/M,_Stu(6555850a55640f87137d0f2cfe2d9553)/ (0%)"
11,"http://moss.stanford.edu/results/257977931/match24.html","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/C_P2_2015/Sunam,_Jerry(a078102843453dd4fe10ec0873d6e998)/ (1%)","C:/Users/Dana/Documents/GitHub/MOSS-TAPS/MossTaps/data/Upload/O_P2_2014/F,_Stu(11a3b6f00f76a75d9d650d008e4a510e)/ (1%)"
