Set,Correct,Incorrect,Skipped
Basic Problems B,6,6,0
Test Problems B,5,7,0
Challenge Problems B,0,0,12
Raven's Problems B,2,10,0
Basic Problems C,2,9,1
Test Problems C,0,10,2
Challenge Problems C,0,0,12
Raven's Problems C,0,0,12
